id;idcliente;nombre;direccion;telefono;ciudad
1;4095;Som transform;generating enterprise Surinam;Green virtual;capability Quality Up-sized
2;24027;local;incubate;matrix transmit;policy
3;35739;matrix digital bottom-line;Re-engineered;feed;payment blue
4;88476;Bedfordshire;Switchable Soft;Product;purple
5;92760;background;invoice;orange East;Loan facilitate Ball
6;40713;panel Ports Chicken;Cambridgeshire deposit payment;Car Account;bandwidth
7;36020;cultivate sticky;Bedfordshire Account;CSS synergy;wireless
8;27114;payment microchip;Salad Loan mobile;Security Wooden Loan;vertical
9;38841;implement;bypassing Tools Lodge;Cambridgeshire;Account Avon
10;42432;calculating card invoice;eyeballs Interactions;capacitor Agent Trinidad;Account Cambridgeshire 24/7
